"clientName","clientAppId","status","isMicrosoft","isThirdParty","isHomeTenant","isHidden","publisher","publisherDomain","publisherDomainMatchesMicrosoft","publisherDomainMatchesTenant","verifiedPublisherName","verifiedPublisherId","appOwnerOrgId","msOwnerOrgMatch","msPublisherMatch","verifiedPublisherMatchesMicrosoft","msHasIntegratedTag","msHasGalleryTag","msKnownAppId","servicePrincipalType","servicePrincipalNames","servicePrincipalNameMatchesMicrosoft","servicePrincipalNameMatchesTenant","servicePrincipalTags","notes","ssoState","staleApp","tags","adminScopes","userScopes","userCount"
"Demo Intune Registry Builder | headsinthecloud.blog","d0d78973-2718-4592-b4f7-716d4e195fc1","fail","False","True","False","False","Daniel Fraubaum",,"False","False",,,"758980df-792f-46af-89e9-62dffd5a722a","False","False","False","True","False",,"Application","d0d78973-2718-4592-b4f7-716d4e195fc1","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","Admin Consent;user-perm: 0;user-count: 0;3rd Party","Microsoft Graph:DeviceManagementApps.ReadWrite.All;Microsoft Graph:DeviceManagementConfiguration.ReadWrite.All;Microsoft Graph:DeviceManagementScripts.ReadWrite.All;Microsoft Graph:offline_access;Microsoft Graph:openid;Microsoft Graph:profile","","0"
"Windows Virtual Desktop Client","fa4345a4-a730-4230-84a8-7d9651b86739","warn","True","False","False","False","MS Azure Cloud",,"False","False",,,"33e01921-4d64-4f8c-a055-5bdaffd5e33d","False","False","False","True","False","fa4345a4-a730-4230-84a8-7d9651b86739","Application","fa4345a4-a730-4230-84a8-7d9651b86739","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","Admin Consent;user-perm: 0;user-count: 0;Microsoft","Windows Azure Active Directory:User.Read;Windows Virtual Desktop:user_impersonation","","0"
"Intune Automated Hash Upload","9355a84d-f4f7-4874-a560-29b4bf570d65","pass","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","9355a84d-f4f7-4874-a560-29b4bf570d65","False","False","WindowsAzureActiveDirectoryIntegratedApp;HideApp",,"Disabled","True","Hidden;staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:User.Read","","0"
"Swift","5926a17c-d17e-4138-a296-2b2304d9f838","pass","False","False","True","False","Base-IT Intune.cc","swift.intune.cc","False","True",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","5926a17c-d17e-4138-a296-2b2304d9f838;https://swift.intune.cc","False","True","WindowsAzureActiveDirectoryIntegratedApp;WindowsAzureActiveDirectoryCustomSingleSignOnApplication;WindowsAzureActiveDirectoryOnPremApp",,"OpenID Connect","False","Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:User.Read","","0"
"ar-MyWorkID-frontend","434903d7-ec64-4c31-b17c-291c1c16bf23","warn","False","False","True","False","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","False","False",,"Application","434903d7-ec64-4c31-b17c-291c1c16bf23","False","False","",,"OpenID Connect","True","staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","ar-MyWorkID-backend:Access;Microsoft Graph:User.Read","","0"
"Veeam Data Cloud EMEA","cee5f3e2-1744-47f7-a369-56a2e6d9f82b","warn","True","False","False","False","CTG Cirrus ","cirrusbackup.onmicrosoft.com","False","False","CT4 PTY LTD","4294976","765d554b-700c-43e4-8800-64c5d94f17fc","False","False","False","True","False",,"Application","cee5f3e2-1744-47f7-a369-56a2e6d9f82b;https://cirrusbackup.onmicrosoft.com/cirrus-frontend-api-prduk","True","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","Admin Consent;User Consent;user-perm: 6;user-count: 1;Microsoft","Microsoft Graph:email;Microsoft Graph:offline_access;Microsoft Graph:openid;Microsoft Graph:profile","Microsoft Graph:Domain.Read.All;Microsoft Graph:offline_access;Microsoft Graph:openid;Microsoft Graph:profile;Microsoft Graph:Reports.Read.All;Microsoft Graph:User.Read.All","1"
"200855forpedemosharepoint","0f0cc56a-2729-443a-94e2-f2ead159b581","warn","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","0f0cc56a-2729-443a-94e2-f2ead159b581","False","False","WindowsAzureActiveDirectoryIntegratedApp;HideApp",,"OpenID Connect","True","Hidden;staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:Files.Read.All;Microsoft Graph:Sites.Read.All;Microsoft Graph:User.Read","","0"
"IDEMIA ID-One Trust","777d1bbc-c5c4-4da6-bb7a-3bad7cdc8e5f","pass","False","True","False","False","myidemia",,"False","False","IDEMIA Public Security France","5255667","7694d41c-5504-43d9-9e40-cb254ad755ec","False","False","False","True","False",,"Application","777d1bbc-c5c4-4da6-bb7a-3bad7cdc8e5f","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","User Consent;user-perm: 4;user-count: 1;3rd Party","","Microsoft Graph:offline_access;Microsoft Graph:openid;Microsoft Graph:profile;Microsoft Graph:User.Read","1"
"base-IT-Informationhub-AI-Demo-ForPe","90709c9f-f1f1-4ea6-bdee-330b94e3d49b","pass","False","False","True","False","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","90709c9f-f1f1-4ea6-bdee-330b94e3d49b","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","True","staleApps;User Consent;user-perm: 4;user-count: 1;Home Tenant","","Microsoft Graph:offline_access;Microsoft Graph:openid;Microsoft Graph:profile;Microsoft Graph:User.Read","1"
"Checkmk Monitoring","e1a28a42-8fbe-476b-80b6-fa3b2a2da4c4","pass","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","e1a28a42-8fbe-476b-80b6-fa3b2a2da4c4","False","False","HideApp;WindowsAzureActiveDirectoryIntegratedApp",,"Disabled","False","Hidden;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:User.Read","","0"
"Microsoft Pin Reset Service Production","b8456c59-1230-44c7-a4a2-99b085333e84","warn","True","False","False","False","Microsoft","cred.microsoft.com","True","False",,,"72f988bf-86f1-41af-91ab-2d7cd011db47","True","True","False","True","False","b8456c59-1230-44c7-a4a2-99b085333e84","Application","b8456c59-1230-44c7-a4a2-99b085333e84;https://cred.microsoft.com/","True","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","Admin Consent;user-perm: 0;user-count: 0;Microsoft","Windows Azure Active Directory:Directory.Read.All;Windows Azure Active Directory:User.Read","","0"
"PnP Rocks","45582b79-50a8-49bf-a8bc-c24b9bbac7af","fail","False","False","True","False","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","45582b79-50a8-49bf-a8bc-c24b9bbac7af","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:Group.ReadWrite.All;Microsoft Graph:User.ReadWrite.All;Office 365 SharePoint Online:AllSites.FullControl;Office 365 SharePoint Online:TermStore.ReadWrite.All;Office 365 SharePoint Online:User.ReadWrite.All","","0"
"FraDa_Intune_Backup","25171554-2a00-4865-a465-a8ac33a02dd5","pass","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","25171554-2a00-4865-a465-a8ac33a02dd5","False","False","HideApp;WindowsAzureActiveDirectoryIntegratedApp",,"Disabled","True","Hidden;staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:User.Read","","0"
"IntuneBackup via IntuneManagement","79db62d4-e1ce-4ccd-b323-6b8a7f320643","pass","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","79db62d4-e1ce-4ccd-b323-6b8a7f320643","False","False","HideApp;WindowsAzureActiveDirectoryIntegratedApp",,"Disabled","True","Hidden;staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:User.Read","","0"
"ForPePNPPowerShellAppRegistration","e51a4168-2f4b-405c-8b05-3b8ccfae53fa","fail","False","False","True","False","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","e51a4168-2f4b-405c-8b05-3b8ccfae53fa","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","True","staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:Sites.Manage.All;Microsoft Graph:Sites.ReadWrite.All;Office 365 SharePoint Online:AllSites.FullControl","","0"
"Gmail","2cee05de-2b8f-45a2-8289-2a06ca32c4c8","warn","False","True","False","False","Default Directory",,"False","False","Google LLC","5358642","1724ab6c-1894-4593-ac5c-06d6bb7986e3","False","False","False","True","False",,"Application","2cee05de-2b8f-45a2-8289-2a06ca32c4c8","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","Admin Consent;User Consent;user-perm: 2;user-count: 1;3rd Party","Microsoft Graph:EAS.AccessAsUser.All;Microsoft Graph:offline_access","Microsoft Graph:EAS.AccessAsUser.All;Microsoft Graph:offline_access","1"
"MISP-SSO","9295e37a-9b37-4ebe-8bd6-1bdf253cc4c5","warn","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","9295e37a-9b37-4ebe-8bd6-1bdf253cc4c5","False","False","HideApp;WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","True","Hidden;staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:Group.Read.All;Microsoft Graph:User.Read","","0"
"base-IT-Information-Hub","7c6e067f-d968-46fb-a6fa-e29d26b8760f","warn","False","False","True","False","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","7c6e067f-d968-46fb-a6fa-e29d26b8760f","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","True","staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:offline_access;Microsoft Graph:openid;Microsoft Graph:profile;Microsoft Graph:User.Read;Microsoft Graph:User.ReadBasic.All","","0"
"200037AI-WebApp","e63451f6-7e53-4624-9d11-41d60be3a461","pass","False","False","True","False","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","e63451f6-7e53-4624-9d11-41d60be3a461","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","True","staleApps;User Consent;user-perm: 4;user-count: 1;Home Tenant","","Microsoft Graph:offline_access;Microsoft Graph:openid;Microsoft Graph:profile;Microsoft Graph:User.Read","1"
"AVD Documentation","44f8efa6-dd4b-40e1-a82e-f1a02012e778","warn","False","True","False","False","M365 JVLDN",,"False","False",,,"42ba3ed1-ae78-4fd0-8080-5f8bfcc27b29","False","False","False","True","False",,"Application","44f8efa6-dd4b-40e1-a82e-f1a02012e778","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","Admin Consent;user-perm: 0;user-count: 0;3rd Party","Azure Resource Manager:user_impersonation;Microsoft Graph:Application.Read.All;Microsoft Graph:Group.Read.All;Microsoft Graph:GroupMember.Read.All;Microsoft Graph:Organization.Read.All;Microsoft Graph:User.Read;Microsoft Graph:User.ReadBasic.All","","0"
"AR-androidManagedStoreAppConfiguration","7d854061-480f-4364-89ab-9db7ab266246","pass","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","7d854061-480f-4364-89ab-9db7ab266246","False","False","WindowsAzureActiveDirectoryIntegratedApp;HideApp",,"Disabled","True","Hidden;staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:User.Read","","0"
"PowerShell Gallery ","d53deec6-b5c5-4953-8d80-73d001fd31e5","pass","True","False","False","False","MS Azure Cloud",,"False","False","Microsoft Corporation","5206095","33e01921-4d64-4f8c-a055-5bdaffd5e33d","False","False","True","True","False",,"Application","d53deec6-b5c5-4953-8d80-73d001fd31e5","False","False","guidedSetupCreatedOrUpdated;appModelVersion:2;accessTokenVersion:1;availableToOtherTenants:true;supportsConvergence:true;WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","User Consent;user-perm: 3;user-count: 1;Microsoft","","Microsoft Graph:email;Microsoft Graph:openid;Microsoft Graph:profile","1"
"Veeam Data Cloud Registration EMEA","8e094f79-5aae-4c5f-b71b-5f6bf9cfea29","fail","False","True","False","False","CTG Cirrus ",,"False","False","CT4 PTY LTD","4294976","765d554b-700c-43e4-8800-64c5d94f17fc","False","False","False","True","False",,"Application","8e094f79-5aae-4c5f-b71b-5f6bf9cfea29","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"Disabled","False","Admin Consent;user-perm: 0;user-count: 0;3rd Party","Microsoft Graph:Application.ReadWrite.All;Microsoft Graph:AppRoleAssignment.ReadWrite.All;Microsoft Graph:Directory.ReadWrite.All;Microsoft Graph:RoleManagement.ReadWrite.Directory","","0"
"brath_IntuneBackup_IntuneManagement","eb48831b-f9b2-45e4-b7ef-cbe9784de408","pass","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","eb48831b-f9b2-45e4-b7ef-cbe9784de408","False","False","HideApp;WindowsAzureActiveDirectoryIntegratedApp",,"Disabled","True","Hidden;staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Microsoft Graph:User.Read","","0"
"Windows Defender Security Intelligence","6ba09155-cb24-475b-b24f-b4e28fc74365","pass","True","False","False","False","MS Azure Cloud",,"False","False",,,"33e01921-4d64-4f8c-a055-5bdaffd5e33d","False","False","False","True","False","6ba09155-cb24-475b-b24f-b4e28fc74365","Application","6ba09155-cb24-475b-b24f-b4e28fc74365","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","Admin Consent;user-perm: 0;user-count: 0;Microsoft","Microsoft Graph:email;Microsoft Graph:offline_access;Microsoft Graph:openid;Microsoft Graph:profile","","0"
"Sentinel Dashboard","66271a19-ea61-43a6-8248-fe899943257b","warn","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","66271a19-ea61-43a6-8248-fe899943257b","False","False","WindowsAzureActiveDirectoryIntegratedApp;HideApp",,"Disabled","True","Hidden;staleApps;Admin Consent;user-perm: 0;user-count: 0;Home Tenant","Azure Resource Manager:user_impersonation;Microsoft Graph:User.Read;Microsoft Graph:User.Read.All","","0"
"iOS Accounts","f8d98a96-0999-43f5-8af3-69971c7bb423","warn","False","True","False","False","Apple Inc.",,"False","False","Apple Inc.","5375377","e0fad04c-a04c-41ab-b35e-dc523af755a1","False","False","False","True","False",,"Application","f8d98a96-0999-43f5-8af3-69971c7bb423","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"OpenID Connect","False","Admin Consent;user-perm: 0;user-count: 0;3rd Party","Microsoft Graph:EAS.AccessAsUser.All;Microsoft Graph:offline_access;Microsoft Graph:openid","","0"
